POS Txn,Dept,ID,Sales U
16120100160035000000,LIFE STYLE DENIM,35,1
16120100160036000000,LIFE STYLE DENIM,35,1
16120100160036000000,LIFE STYLE DENIM,35,1
16120100160023000000,MENS OUTDOOR,36,1
16120100160023000000,MENS OUTDOOR,36,2
16120100160023000000,MENS OUTDOOR,36,1
16120100160031000000,MENS OUTDOOR,36,1
16120100160031000000,MENS OUTDOOR,36,1
16120100160031000000,MENS OUTDOOR,36,1
16120100160033000000,MENS OUTDOOR,36,1
16120100160033000000,MENS OUTDOOR,36,1
16120100160033000000,MENS OUTDOOR,36,1
16120100160034000000,MENS OUTDOOR,36,1
16120100160034000000,MENS OUTDOOR,36,1
16120100160035000000,MENS OUTDOOR,36,1
16120100160036000000,MENS OUTDOOR,36,1
16120100160036000000,MENS OUTDOOR,36,1
16120100160036000000,MENS OUTDOOR,36,1
16120100160037000000,MENS OUTDOOR,36,1
16120100160038000000,MENS OUTDOOR,36,1
16120100160038000000,MENS OUTDOOR,36,2
16120100160078000000,MENS OUTDOOR,36,-1
16120100160079000000,MENS OUTDOOR,36,-3
16120100160079000000,MENS OUTDOOR,36,1
16120100160101000000,MENS OUTDOOR,36,1
16120100160031000000,MENS MODERN COLLECT,37,1
16120100160034000000,MENS MODERN COLLECT,37,3
16120100160035000000,MENS MODERN COLLECT,37,1
16120100160036000000,MENS MODERN COLLECT,37,1
16120100160036000000,MENS MODERN COLLECT,37,1
16120100160162000000,MENS MODERN COLLECT,37,2
16120100160023000000,MENS SPORT SHIRTS,38,1
16120100160033000000,MENS SPORT SHIRTS,38,1
16120100160036000000,MENS SPORT SHIRTS,38,2
16120100160036000000,MENS SPORT SHIRTS,38,3
16120100160036000000,MENS SPORT SHIRTS,38,1
16120100160037000000,MENS SPORT SHIRTS,38,1
16120100160037000000,MENS SPORT SHIRTS,38,2
16120100160077000000,MENS SPORT SHIRTS,38,-3
16120100160078000000,MENS SPORT SHIRTS,38,-1
16120100160031000000,MENS DRESS SHIRTS,40,1
16120100160031000000,MENS DRESS SHIRTS,40,2
16120100160032000000,MENS DRESS SHIRTS,40,1
16120100160032000000,MENS DRESS SHIRTS,40,2
16120100160033000000,MENS DRESS SHIRTS,40,1
16120100160035000000,MENS DRESS SHIRTS,40,2
16120100160035000000,MENS DRESS SHIRTS,40,1
16120100160037000000,MENS DRESS SHIRTS,40,1
16120100160078000000,MENS DRESS SHIRTS,40,-1
16120100160162000000,MENS DRESS SHIRTS,40,1
16120100160022000000,MENS ACCESSORIES,41,1
16120100160023000000,MENS ACCESSORIES,41,1
16120100160023000000,MENS ACCESSORIES,41,1
16120100160024000000,MENS ACCESSORIES,41,1
16120100160031000000,MENS ACCESSORIES,41,1
16120100160031000000,MENS ACCESSORIES,41,1
16120100160031000000,MENS ACCESSORIES,41,1
16120100160031000000,MENS ACCESSORIES,41,2
16120100160031000000,MENS ACCESSORIES,41,2
16120100160032000000,MENS ACCESSORIES,41,1
16120100160033000000,MENS ACCESSORIES,41,1
16120100160033000000,MENS ACCESSORIES,41,1
16120100160033000000,MENS ACCESSORIES,41,1
16120100160033000000,MENS ACCESSORIES,41,1
16120100160034000000,MENS ACCESSORIES,41,1
16120100160035000000,MENS ACCESSORIES,41,1
